Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
491,8.195431,8.042039,5.484,5.091028
492,8.58447,8.458933,5.539,5.693611
493,8.560849,8.441829,5.6,6.452931
494,8.336863,8.203797,5.649,7.048386
495,8.065434,7.900356,5.707,7.784708
496,7.886896,7.669028,5.758,8.652247
497,7.765473,7.482735,5.803,9.492226
498,7.708611,7.372449,5.858,10.242747
499,7.666602,7.277118,5.918,11.197833
500,7.62836,7.193194,5.971,12.197355
501,7.620476,7.16688,6.022,13.22751
502,7.632726,7.169584,6.075,14.255006
503,7.647651,7.198054,6.129,15.081854
504,7.655263,7.230834,6.19,16.189857
505,7.618462,7.247646,6.238,17.20399
506,7.59921,7.284772,6.292,18.337951
507,7.57995,7.328888,6.358,19.382447
508,7.569921,7.369488,6.41,20.312669
509,7.578568,7.421023,6.458,21.376512
510,7.570299,7.433972,6.508,22.49998
511,7.580466,7.44607,6.569,23.519846
512,7.590711,7.439991,6.621,24.592314
513,7.629459,7.433433,6.685,25.556631
514,7.63357,7.382263,6.731,26.408391
515,7.614066,7.294089,6.783,27.320121
516,7.609043,7.211676,6.841,28.305911
517,7.610542,7.130134,6.897,29.154547
518,7.614756,7.075083,6.951,30.048715
519,7.621891,7.038642,7.009,30.745266
520,7.622099,7.000682,7.076,31.538116
521,7.631617,6.993724,7.134,32.367858
522,7.626849,6.996666,7.201,33.097335
523,7.624992,7.027193,7.257,33.867087
524,7.619114,7.072522,7.321,34.48965
525,7.620922,7.125657,7.371,35.01287
526,7.627328,7.211459,7.427,35.629844
527,7.621918,7.287553,7.485,36.179711
528,7.636459,7.384345,7.549,36.794992
529,7.659487,7.474927,7.619,37.31706
530,7.644608,7.516137,7.689,37.80609
531,7.628568,7.527473,7.747,38.216922
532,7.609458,7.534808,7.815,38.703082
533,7.628321,7.547866,7.89,39.193971
534,7.631592,7.520504,7.957,39.625367
535,7.620925,7.464407,8.017,40.018841
536,7.615664,7.388513,8.089,40.392069
537,7.61717,7.309145,8.155,40.761477
538,7.603441,7.230336,8.23,41.032097
539,7.588426,7.13947,8.284,41.454275
540,7.617776,7.094234,8.351,41.799671
541,7.645964,7.055515,8.421,42.238812
542,7.670775,7.038665,8.485,42.544809
543,7.669989,7.010451,8.555,42.813642
544,7.672824,6.997468,8.62,43.054084
545,7.674486,7.00154,8.693,43.375329
546,7.677839,7.032237,8.761,43.66374
547,7.693335,7.073704,8.828,44.050665
548,7.68399,7.120868,8.898,44.312017
549,7.683727,7.181262,8.975,44.567615
550,7.679613,7.245622,9.034,44.838896
551,7.689547,7.329596,9.108,45.199431
552,7.696102,7.410825,9.176,45.48027
553,7.703092,7.47511,9.248,45.697304
554,7.710489,7.539768,9.323,45.906363
555,7.701831,7.583231,9.389,46.230959
556,7.69863,7.620769,9.469,46.387163
557,7.693895,7.64045,9.535,46.687838
558,7.688009,7.652125,9.604,46.985195
559,7.680027,7.645938,9.684,47.284511
560,7.676029,7.635197,9.748,47.625529
561,7.679053,7.626731,9.819,47.750279
562,7.67503,7.605048,9.879,48.040565
563,7.674936,7.583997,9.948,48.310058
564,7.665722,7.555279,10.023,48.611527
565,7.664637,7.537423,10.094,48.844775
566,7.664563,7.524931,10.167,49.060772
567,7.676656,7.533417,10.235,49.312217
568,7.672557,7.526945,10.304,49.529307
569,7.688916,7.543201,10.378,49.818393
570,7.697347,7.55899,10.453,49.99149
571,7.69936,7.567918,10.523,50.18504
572,7.69673,7.583949,10.589,50.376492
573,7.684507,7.592078,10.676,50.620529
574,7.68234,7.615586,10.745,50.818498
575,7.684321,7.632977,10.81,50.974929
576,7.694728,7.658384,10.884,51.274043
577,7.690738,7.661959,10.958,51.359808
578,7.693549,7.674829,11.029,51.475476
579,7.684713,7.664246,11.1,51.605668
580,7.683142,7.659078,11.161,51.696742
581,7.680267,7.642831,11.228,51.876626
582,7.681917,7.630769,11.31,51.900165
583,7.684827,7.618999,11.383,51.996867
584,7.677147,7.591037,11.453,52.136958
585,7.677321,7.564694,11.526,52.06354
586,7.666646,7.532653,11.6,52.001491
587,7.672879,7.512284,11.668,52.037751
588,7.660544,7.480624,11.739,52.078048
589,7.655474,7.456744,11.807,51.913551
590,7.637334,7.42325,11.873,51.890147
591,7.623108,7.405124,11.93,51.89565
