Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
973,0.861717,0.006709,29.595,-0.018272
974,0.905899,0.001917,29.585,-0.040247
975,0.94321,0.004992,29.706,-0.086045
976,1.079965,-0.02996,29.756,-0.175989
977,1.589291,-0.016099,29.773,-0.161261
978,3.281476,-0.002345,29.862,-0.247804
979,8.221559,-0.021976,29.71,-0.096429
980,14.559404,0.015941,29.803,0.098371
981,14.885479,0.003316,29.839,-0.031898
982,9.871264,0.016958,29.793,-0.162306
983,5.579225,0.005719,29.859,-0.010486
984,2.484939,0.01404,29.883,-0.08051
985,1.066512,0.022621,29.883,-0.314828
986,0.537666,0.000654,29.928,-0.139468
987,0.398584,-0.01078,29.906,-0.035725
988,0.38805,-0.021876,29.959,-0.209798
989,0.491143,-0.009862,29.97,-0.0342
990,0.716304,0.003073,29.963,0.065811
991,1.530174,0.000814,29.928,0.020317
992,4.623271,-0.017578,29.982,-0.1536
993,9.113148,-2.7E-05,29.914,-0.139807
994,9.59949,0.012465,29.923,0.046784
995,6.748494,-0.010608,29.938,-0.139932
996,3.837659,-0.019886,29.955,-0.108813
997,2.178227,-0.009821,29.891,-0.042308
998,1.035869,-0.042575,29.961,-0.170233
999,0.566089,-0.011275,29.92,-0.257663
1000,0.374492,-0.001526,29.872,-0.410412
1001,0.282772,-0.026104,29.831,-0.414235
1002,0.232433,0.019706,30.021,-0.006727
1003,0.230911,0.001064,29.953,0.182469
1004,0.191745,0.038434,29.836,0.045186
1005,0.168348,-0.018621,29.741,-0.229724
1006,0.195404,-0.010506,29.761,-0.147352
1007,0.188681,0.033642,29.668,-0.4455
1008,0.233008,0.014838,29.642,-0.566698
1009,0.182391,-0.024225,29.554,-0.412439
1010,0.214682,0.040781,29.559,-0.2067
1011,0.219,0.001013,29.475,-0.155763
1012,0.234326,0.039034,29.417,-0.365415
1013,0.2733,-0.029068,29.403,-0.414364
1014,0.296745,0.050029,29.407,-0.085466
1015,0.231602,-0.01339,29.376,0.109291
1016,0.2094,-0.066411,29.29,-0.350226
1017,0.149805,-0.074885,29.321,-0.360915
1018,0.217318,-0.006803,29.252,-0.010803
1019,0.101744,-0.069656,28.91,-0.118253
1020,0.122103,-0.047326,28.86,-0.155446
1021,0.239336,-0.011842,28.871,0.34664
1022,0.183061,-0.022367,28.821,0.01559
1023,0.229648,0.070882,28.741,-0.151458
1024,0.225794,-0.000677,28.748,0.394893
1025,0.260318,0.006348,28.548,-0.144118
1026,0.198237,0.035319,28.467,-0.753309
1027,0.138584,0.092326,28.369,-0.681951
1028,0.168482,0.019322,28.466,-0.392218
1029,0.230995,0.058796,28.37,0.168635
1030,0.136521,-0.032486,28.04,-0.541777
1031,0.148803,-0.048779,28.258,-0.768953
1032,0.097557,-0.169903,28.011,-0.452185
1033,0.070059,-0.012295,28.009,-0.597098
1034,0.153269,-0.168928,27.79,-0.723176
1035,0.204046,0.189074,27.564,-0.657221
1036,0.330658,0.137082,27.791,-0.511122
1037,0.142984,-0.075521,27.199,-0.885248
1038,0.126716,-0.068508,27.435,-1.04839
1039,0.248639,-0.122477,26.975,-1.121897
1040,0.071988,-0.058151,27.432,-0.94317
1041,0.106934,-0.159128,27.155,-0.409199
1042,0.167082,-0.068485,27.073,-0.460724
1043,0.213475,0.016233,26.636,-0.246528
1044,0.121043,0.005173,26.73,0.435452
1045,0.188792,-0.049624,,0.184863
