Energy_MJ/m2,MF.0072.05,MF.0072.06,MF.0072.07,MF.0072.08,MF.0072.09,MF.0072.10,MF.0072.11,MF.0072.12,MF.0072.13,MF.0072.14,MF.0072.15,MF.0072.16,dE00_mean,dE00_stdev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2942,0.2741,0.3342,0.2549,0.2325,0.1826,0.3021,0.3224,0.2624,0.1448,0.3145,0.2651,0.2653,0.0542
1.0,0.3369,0.3169,0.3769,0.3055,0.26,0.2157,0.353,0.363,0.303,0.19,0.3393,0.3157,0.3064,0.0552
1.5,0.3658,0.34,0.4,0.3388,0.27,0.23,0.38,0.385,0.33,0.2164,0.33,0.3391,0.3271,0.0565
2.0,0.38,0.35,0.4147,0.35,0.28,0.24,0.3969,0.3968,0.3468,0.2041,0.34,0.3569,0.338,0.062
2.5,0.3936,0.36,0.43,0.36,0.28,0.25,0.41,0.3912,0.3587,0.2167,0.34,0.35,0.345,0.0622
3.0,0.4,0.37,0.44,0.3784,0.2884,0.259,0.42,0.4,0.3607,0.2479,0.3365,0.36,0.3551,0.059
3.5,0.41,0.38,0.45,0.39,0.2915,0.27,0.43,0.4,0.37,0.3067,0.3407,0.4033,0.3702,0.0541
4.0,0.4103,0.3901,0.46,0.3948,0.3,0.28,0.43,0.41,0.38,0.335,0.3551,0.3945,0.3783,0.0502
4.5,0.42,0.4,0.469,0.41,0.31,0.2889,0.44,0.4065,0.39,0.2788,0.35,0.4088,0.381,0.058
5.0,0.428,0.41,0.4778,0.4111,0.31,0.2921,0.44,0.4017,0.39,0.2736,0.3563,0.4322,0.3852,0.0611
5.5,0.43,0.42,0.48,0.43,0.32,0.3,0.4403,0.41,0.3999,0.282,0.3542,0.4339,0.3917,0.0599
6.0,0.44,0.43,0.49,0.43,0.32,0.31,0.45,0.41,0.4,0.3365,0.3678,0.4138,0.3999,0.0531
6.5,0.44,0.44,0.5,0.44,0.33,0.32,0.4541,0.41,0.4061,0.3264,0.36,0.4219,0.404,0.0551
7.0,0.45,0.4434,0.51,0.45,0.3339,0.3253,0.4559,0.42,0.41,0.332,0.36,0.41,0.4084,0.0563
7.5,0.45,0.45,0.5123,0.46,0.34,0.33,0.46,0.43,0.41,0.3401,0.3702,0.45,0.4169,0.0562
8.0,0.46,0.46,0.52,0.4602,0.3498,0.34,0.46,0.43,0.42,0.3415,0.3607,0.4494,0.421,0.0566
8.5,0.46,0.47,0.53,0.47,0.35,0.35,0.47,0.43,0.4216,0.3756,0.3711,0.4549,0.4294,0.0545
9.0,0.46,0.4789,0.53,0.48,0.36,0.36,0.4735,0.43,0.43,0.3278,0.37,0.4647,0.4304,0.0597
9.5,0.47,0.48,0.53,0.4898,0.3602,0.37,0.48,0.44,0.43,0.3745,0.3846,0.4918,0.4417,0.0548
10.0,0.48,0.49,0.54,0.49,0.37,0.375,0.49,0.44,0.4374,0.4278,0.37,0.4852,0.4496,0.0534
